Ref,Val,Package,PosX,PosY,Rot,Side
"U1","APDS-9008-020","APDS-9008-020",7.950200,6.070600,180.000000,bottom
"C1","4.7uF","C_0402_Educational",3.337500,11.137500,0.000000,top
"C2","4.7uF","C_0402_Educational",3.737500,4.337500,180.000000,top
"C3","4.7uF","C_0402_Educational",3.337500,9.737500,0.000000,top
"C4","2.2uF","C_0402_Educational",4.937500,13.337500,90.000000,top
"C5","2.2uF","C_0402_Educational",12.037500,4.337500,90.000000,top
"D1","AM2520ZGC09","AM2520ZGC09_ReverseMount_OriginalAperture",7.937500,8.331200,0.000000,top
"D2","NSR05F40NXT5G","NSR05F40NXT5G_DSN2",12.737500,6.137500,0.000000,top
"J1","SM03B-SRSS-TB","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",7.937500,3.687500,0.000000,top
"R1","EVT_MATRIX","R_0402_Educational",2.437500,7.937500,180.000000,top
"R2","12K","R_0402_Educational",2.537500,6.237500,180.000000,top
"R3","100K","R_0402_Educational",13.337500,9.837500,90.000000,top
"R4","100K","R_0402_Educational",13.937500,7.737500,90.000000,top
"R5","10K","R_0402_Educational",12.737500,11.437500,0.000000,top
"R6","3.3M","R_0402_Educational",11.437500,13.337500,-90.000000,top
"U2","MCP6001T-I/OT","SOT-23-5",7.937500,13.337500,90.000000,top
