Lot Quantity (10 PCBAs),Per-PCBA Quantity,References,Board IDs,Value,Tolerance,Package,Mounting / Type,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,DNP / NC Handling,Sourcing Policy,Substitution
30,3,C1 C2 C3,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,4.7uF,20%,C_0402_1005Metric,SMT,Murata,GRM155R60J475ME47D,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
20,2,C4 C5,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,2.2uF,10%,C_0402_1005Metric,SMT,Murata,GRM155R61A225KE01D,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,D1,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,AM2520ZGC09,N/A,AM2520ZGC09_ReverseMount_OriginalAperture,SMT,Kingbright,AM2520ZGC09,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,D2,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,NSR05F40NXT5G,N/A,NSR05F40NXT5G_DSN2,SMT,onsemi,NSR05F40NXT5G,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,J1,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,SM03B-SRSS-TB,N/A,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,SMT,JST,SM03B-SRSS-TB,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,R2,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,12K,1%,R_0402_1005Metric,SMT,Yageo,RC0402FR-0712KL,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
20,2,R3 R4,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,100K,1%,R_0402_1005Metric,SMT,Yageo,RC0402FR-07100KL,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,R5,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,10K,1%,R_0402_1005Metric,SMT,Yageo,RC0402FR-0710KL,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,R6,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,3.3M,1%,R_0402_1005Metric,SMT,Yageo,RC0402FR-073M3L,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,U1,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,APDS-9008-020,N/A,APDS-9008-020,SMT,Broadcom,APDS-9008-020,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
10,1,U2,B-01 B-02 B-03 B-04 B-05 B-06 B-07 B-08 B-09 B-10,MCP6001T-I/OT,N/A,SOT-23-5,SMT,Microchip,MCP6001T-I/OT,PCBWay or authorized distributor,Source exact MPN,POPULATE; no DNP/NC BOM lines,Source exact listed MPN,NO - written WFE approval required
1,1,R1,B-01,470 ohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-07470RL,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
2,1,R1,B-02 B-03,1.0 kohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-071KL,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
2,1,R1,B-04 B-05,1.5 kohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-071K5L,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
1,1,R1,B-06,2.2 kohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-072K2L,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
2,1,R1,B-07 B-08,2.7 kohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-072K7L,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
1,1,R1,B-09,3.3 kohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-073K3L,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
1,1,R1,B-10,4.7 kohm,1%,0402 / 1005 metric,SMT,Yageo,RC0402FR-074K7L,PCBWay or authorized distributor,Source exact MPN,POPULATE R1 on every listed board; R1 is never DNP,Populate only on the listed board IDs; use the controlled R1 matrix and common CPL,No substitution without written WFE approval
